objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"10 Days in Africa","7865","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668427","6.02257","6.55677","1.3761","2569","2236","thing","10 Days in Africa","2","4","30","30","20","2003","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"6 nimmt!","432","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","62403495","6.82059","6.94596","1.2006","611","36415","thing","6 nimmt!","2","10","45","45","45","1994","4,5,6,7,8,9,10","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","0","","0","1","0","0","0","0","0","0","0","3","","","","","","55715136","7.9756","8.09944","2.2232","19","128593","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aquarius","814","6","2","0","1","1","0","0","0","0","0","0","3","","","","","","194830","5.74135","6.0654","1.1364","4702","3042","thing","Aquarius","2","5","30","30","10","1998","2,3,4,5","3,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Automobiles","180680","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","61381531","6.60465","7.2338","2.2055","942","2980","thing","Automobiles","2","5","75","75","45","2016","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Automobiles: Racing Season","213980","0","","0","1","0","0","0","0","0","0","0","3","","","","","","67504877","5.77613","7.57989","2.1429","0","899","thing","Automobiles: Racing Season","2","5","75","75","45","2017","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Axiom","820","8","","0","1","0","0","0","0","0","0","0","3","","Still one of my favorites; I have the original version but I'm looking forward to picking up the new magnetic version.","","","","194831","5.66386","6.96794","2.9333","5932","359","thing","Axiom","2","2","15","15","15","1988","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Axis & Allies: Pacific","1262","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668426","6.02517","6.66199","2.875","2555","3449","thing","Axis & Allies: Pacific","2","3","240","240","240","2001","2,3","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul","230802","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","55715145","7.6596","7.7714","1.7615","67","113134","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Babel","986","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668346","6.27085","6.64929","2.4029","1643","6466","thing","Babel","2","2","60","60","45","2000","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bamboleo","293","6","","0","1","1","0","0","0","0","0","0","3","","","","","","3396186","5.84963","6.33272","1.1979","3624","1472","thing","Bamboleo","2","7","30","30","30","1996","2,3,4,5,6,7","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bananagrams","27225","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668430","6.19081","6.3749","1.3125","1911","20910","thing","Bananagrams","1","8","15","15","15","2006","2,3,4,5,6","3,4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Basari","14","8","","0","1","0","0","0","0","0","0","0","3","","","","","","194833","6.09433","6.74669","1.8571","2269","1938","thing","Basari","3","4","25","25","25","1998","3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Battle Cry","551","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668364","6.53826","7.14841","2.095","1052","4389","thing","Battle Cry","2","2","45","45","45","1999","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bohnanza","11","6","","0","1","0","0","0","0","0","0","0","3","","","","","","194834","6.93292","7.04407","1.6732","491","64595","thing","Bohnanza","2","7","45","45","45","1997","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bohnanza","11","0","","0","1","1","0","0","0","0","0","0","3","","","","","","7668404","6.93292","7.04407","1.6732","491","64595","thing","Bohnanza","2","7","45","45","45","1997","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Brawl","392","7","","0","1","0","0","0","0","0","0","0","3","","","","","","194835","5.8122","6.35921","1.3694","3938","2478","thing","Brawl","2","7","15","15","15","1999","2","2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Bucket King","3141","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","7668342","5.88029","6.32684","1.2316","3395","1397","thing","The Bucket King","2","6","45","45","45","2002","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BuyWord","8920","0","","0","1","0","0","0","0","0","0","0","0","","","","","","18491089","5.74129","6.27486","1.8095","4704","1091","thing","BuyWord","1","4","45","45","45","2004","1,2,3,4","2","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Caesar & Cleopatra","132","8","","0","1","0","0","0","0","0","0","0","3","","","","","","204548","6.11349","6.39852","1.9104","2196","7570","thing","Caesar & Cleopatra","2","2","60","60","60","1997","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Caper: Europe","328565","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","89643146","6.63479","7.92645","2.1892","904","4089","thing","Caper: Europe","2","2","35","35","25","2022","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne","822","8","","0","1","0","0","0","0","0","0","0","3","","","","","","204549","7.30236","7.4131","1.9019","200","173580","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: Expansion 1 – Inns & Cathedrals","2993","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668791","7.40641","7.63035","1.9286","0","46047","thing","Carcassonne: Expansion 1 – Inns & Cathedrals","2","6","60","60","60","2002","2,3,4,5,6","2,3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"The Castles of Burgundy","84876","0","","0","1","0","0","0","0","0","0","0","3","","","","","","78423292","8.00615","8.12812","2.9948","17","71739","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cat Blues","363","5","","0","1","1","0","0","0","0","0","0","3","","","","","","194861","5.63105","5.9736","1.4286","6735","1106","thing","Cat Blues","2","6","30","30","30","1998","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"CATAN","13","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194874","6.94475","7.11557","2.3056","477","182331","thing","CATAN","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cathedral","7","6","","0","1","0","0","0","0","0","0","0","3","","","","","","204550","6.12857","6.52949","1.7872","2141","6337","thing","Cathedral","2","2","20","20","20","1978","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Change!","622","0","","0","1","0","0","0","0","0","0","0","3","","","","","","204551","5.4803","5.28106","1.2222","21889","422","thing","Change!","2","8","30","30","30","1999","4,5,6,7,8","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Chebache","1550","8","1","0","1","0","0","0","0","0","0","0","3","","This one grows on you quickly; it fits the bill as an improvement on backgammon (giving you more options and a bit less dependance on luck).  The very abstract board takes a bit to warm up to and a few of the rules (especially involving the king) are fiddly, but this one has started to keep us up late playing!","","","","204552","5.5061","5.76667","3","18426","105","thing","Chebache","2","2","45","45","45","1997","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Chez Geek","553","6","","0","1","0","0","0","0","0","0","0","3","","","","","","204553","5.58153","5.71104","1.4183","8699","7865","thing","Chez Geek","2","5","60","60","60","1999","3,4,5","4,5","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Chrononauts","815","7","","0","1","0","0","0","0","0","0","0","3","","","","","","204554","5.96535","6.19194","1.8487","2868","9623","thing","Chrononauts","1","6","30","30","30","2000","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames","178900","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","55715148","7.4807","7.57272","1.273","116","132574","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Condottiere","112","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","67620958","6.61518","6.86464","1.9567","931","12431","thing","Condottiere","2","6","45","45","45","1995","3,4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Coasters","1771","6","","0","1","0","0","0","0","0","0","0","3","","","","","","204555","5.46585","5.21568","1.2222","22612","537","thing","Cosmic Coasters","2","4","10","10","10","2001","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Wimpout","1302","5","","0","1","1","0","0","0","0","0","0","3","","","","","","204556","5.64645","5.99664","1.2243","6318","1631","thing","Cosmic Wimpout","2","7","20","20","20","1975","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cranium","891","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668359","5.57764","5.68432","1.4242","8942","17685","thing","Cranium","4","16","60","60","60","1998","4,6,7,8,9,10,11,12,14,16","8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Crokinole","521","10","","0","1","0","0","0","0","0","0","0","3","","Who doesn't love Crokinole?","","","","204557","7.71073","7.98148","1.2414","54","13879","thing","Crokinole","2","4","30","30","30","1876","2,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dog Lover","344839","0","","0","1","0","0","0","0","0","0","0","3","","","","","","91422795","5.75008","6.95684","1.8571","4588","1074","thing","Dog Lover","2","4","30","30","30","2021","2,3","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"DruidenWalzer","376","4","","0","1","1","0","0","0","0","0","0","3","","","Like new","","","397125","5.60868","5.88051","2.3875","7446","1382","thing","DruidenWalzer","2","2","45","45","45","1999","2","2","12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"DVONN","2346","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668351","6.88833","7.45147","2.6632","548","6677","thing","DVONN","2","2","30","30","30","2001","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Eclipse","72125","0","","0","1","0","0","0","0","0","0","0","3","","","","","","55715142","7.65501","7.85539","3.7024","68","27403","thing","Eclipse","2","6","180","180","60","2011","2,3,4,5,6","4,6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Elfenland","10","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194848","6.46095","6.68957","2.1577","1208","10578","thing","Elfenland","2","6","60","60","60","1998","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fluxx","258","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194850","5.56405","5.67185","1.3895","9785","29127","thing","Fluxx","2","6","30","30","5","1997","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Formula Dé","173","0","","0","1","1","0","0","0","0","0","0","3","","","","","","194851","6.66342","6.99394","1.9577","846","8193","thing","Formula Dé","2","10","120","120","120","1997","3,4,5,6,7,8,9,10","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fort","296912","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","78534734","6.82326","7.19803","2.4098","609","14503","thing","Fort","2","4","40","40","20","2020","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Fox in the Forest","221965","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","63979009","6.92988","7.15242","1.5768","496","26753","thing","The Fox in the Forest","2","2","30","30","30","2017","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Frank's Zoo","340","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194852","6.22039","6.6123","1.5421","1805","5344","thing","Frank's Zoo","3","7","60","60","60","1999","4,5,6,7","4,5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Freight Train","1448","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194853","5.70516","6.39968","2.0345","5225","1021","thing","Freight Train","2","5","90","90","90","1993","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
